id,category,subcategory,type,name,price,portion,ingredients,description,image_filename,is_landing_featured
26,Appetizers,Fried Heavenly,Veg,Honey Chilli Potatoes,150,portion,"Crispy potato fingers, honey, red chili paste, toasted sesame seeds, spring onions","Glossy fried potato fingers coated in a luscious sweet-and-spicy honey chili glaze.",images/honey_chilli_potatoes.jpg,false
27,Appetizers,Fried Heavenly,Veg,Paneer Pakora,170,4 pcs,"Malai paneer cubes, spiced gram flour batter, chaat masala","Soft paneer slabs dipped in seasoned besan batter and fried into fluffy, crunchy pakoras.",images/paneer_pakora.jpg,false
28,Appetizers,Fried Heavenly,Veg,Faltu Paneer Masala,200,portion,"Paneer batons, chaat masala, onions, green chilies, tangy tomato glaze","Addictive street-cafe style crisp paneer tossed in zesty, tangy chaat spices.",images/faltu_paneer_masala.jpg,false
29,Appetizers,Maggi,Veg,Veg Maggi,50,bowl,"Maggi noodles, green peas, carrots, onions, special tastemaker","Street-style masala Maggi tossed with sautéed vegetables and butter.",images/veg_maggi.jpg,false
30,Appetizers,Maggi,Veg,Cheese Maggi,60,bowl,"Maggi noodles, creamy cheese slice, aromatic spice mix","Classic hot noodles crowned with rich, melted processed cheese.",images/cheese_maggi.jpg,false
31,Continental,Burger,Non-Veg,Chicken Burger,100,1 pc,"Sesame bun, grilled chicken patty, lettuce, tomato, house burger sauce","Juicy seasoned chicken patty layered with crisp garden veggies and creamy dressing.",images/chicken_burger.jpg,false
32,Continental,Burger,Non-Veg,Chicken Jalapeño Burger,180,1 pc,"Brioche bun, crispy chicken fillet, pickled jalapeños, spicy mayo, cheese","Kick of heat: crispy fried chicken patty topped with tangy jalapeño slices and cheddar.",images/chicken_jalapeno_burger.jpg,false
33,Continental,Burger,Veg,Veg Burger,80,1 pc,"Toasted bun, mixed vegetable & potato patty, lettuce, mayo","Hearty spiced vegetable patty with crisp lettuce and creamy herb spread.",images/veg_burger.jpg,false
34,Continental,Burger,Veg,Paneer Jalapeño Burger,180,1 pc,"Sesame bun, grilled paneer steak, jalapeños, melted cheese, spicy relish","Thick grilled paneer slab paired with punchy pickled jalapeño peppers.",images/paneer_jalapeno_burger.jpg,false
35,Continental,Momo,Non-Veg,Chicken Steam Momo,80,6 pcs,"Thin dough skin, spiced minced chicken, coriander, red chili dip, clear soup","Delicate steamed dumplings stuffed with flavorful chicken filling, served with piping spicy chutney.",images/chicken_steam_momo.jpg,false
36,Continental,Momo,Veg,Steamed Veg Momo,70,6 pcs,"Cabbage, carrot, onion, garlic, steamed dumpling skin, hot chutney","Fresh vegetable steamed momos served with signature fiery red chili garlic dip.",images/veg_steam_momo.jpg,false
37,Continental,Wraps,Non-Veg,Egg Wrap,140,1 roll,"Layered paratha, double egg omelette, sliced onions, lime juice, green chilies","Authentic Kolkata roll: flaky paratha lined with golden egg, rolled with raw onion and green chilies.",images/egg_wrap.jpg,false
38,Continental,Wraps,Non-Veg,Chicken Wrap,150,1 roll,"Paratha, roasted spiced chicken bhuna, onions, lime, mint mayo","Kolkata-style chicken roll packed with tender boneless chicken and zesty sauces.",images/chicken_wrap.jpg,false
39,Beverages,Coffee,Veg,Cold Coffee with Ice Cream,120,glass,"Espresso, chilled milk, sugar, crowned with a scoop of vanilla ice cream","Rich, frothy cold coffee blended to perfection and topped with a creamy vanilla ice cream scoop.",images/cold_coffee.jpg,false
40,Beverages,Matcha,Veg,Classic Matcha Latte,120,cup,"Japanese ceremonial matcha green tea, steamed milk, touch of sweetness","Earthy, vibrant green matcha whisked smoothly with velvety milk.",images/matcha_latte.jpg,false
41,Beverages,Mocktails,Veg,Meet Me Special Mocktail,80,glass,"Blue curacao, lime, mint, soda, passion fruit splash","Signature refreshing layered tropical mocktail with citrus and sparkling fizz.",images/blue_mocktail.jpg,false
42,Beverages,Bubble Tea,Veg,Classic Matcha Bubble Tea,150,cup,"Matcha green tea, milk, chewy brown sugar tapioca boba pearls","Rich iced matcha milk tea packed with chewy, caramelized tapioca pearls.",images/bubble_tea.jpg,false
43,Shakes,Shakes with Ice Cream,Veg,Oreo Shake,150,jar,"Crushed Oreo cookies, rich chocolate syrup, whole milk, vanilla ice cream","Thick and creamy milkshake packed with crushed Oreo cookies and chocolate drizzle.",images/oreo_shake.jpg,false
44,Desserts,Belgian Waffles,Veg,Nutella Belgian Waffle with Ice Cream,210,plate,"Golden crisp waffle, warm Nutella spread, chocolate drizzle, vanilla ice cream","Freshly baked thick Belgian waffle smothered in rich Nutella, paired with a scoop of ice cream.",images/belgian_waffle.jpg,false
45,Desserts,Cake,Veg,Choco Lava with Ice Cream,110,plate,"Warm chocolate cake, molten chocolate center, vanilla ice cream scoop","Decadent molten chocolate cake bursting with warm chocolate lava, served with cold vanilla ice cream.",images/choco_lava.jpg,false
46,Combos,Combos for 2 Person,Non-Veg,Combo for 2 (Chicken Burger + Strips + Pakora + 2 Coke),410,combo,"2 Cokes, 1 Chicken Burger, Chicken Strips, Chicken Pakora","Perfect pair meal: savory chicken burger, crunchy strips, spiced pakoras, and 2 chilled Cokes.",images/combo_for_2_nonveg.jpg,false
47,Combos,Combos for 4 Person,Non-Veg,Combo for 4 (Fish + Paper Chicken + Wraps + 4 Coke),920,combo,"4 Cokes, Dry Chili Fish, Paper Chicken, Chicken Exotica Wrap, Chicken Mexicano","Feast for 4: chili fish, succulent chicken wraps, Mexican burger, and 4 refreshing Cokes.",images/combo_for_4_nonveg.jpg,false
48,Combos,Meet Me Special,Non-Veg,Occasional Meet Me Special (For 6 Persons),2200,grand combo,"6 Coke, 1 Paneer Ball, 1 Chicken Ball, 1 Dry Chili Baby Corn, 1 Chicken Cotpita, 1 Paneer Jalapeno Burger, 1 Chicken Jalapeno Burger, 1 Paneer Exotica Wrap, 1 Chicken Exotica Wrap, 6 Ice Cream","Grand feast for 6: loaded spread of 10 signature dishes plus 6 ice creams and 6 Cokes.",images/meet_me_special_for_6.jpg,false
